#LondonShooting,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,28,6,5,"Just spoken to my good friend Jeremy Corbyn. 

He says he thinks the terrorist with the bomb vest should have just been arrested. 

Hopefully the police who used guns here will face prosecution for murder. #LondonShooting",/JohnMcG55334977/status/1200440797067464707,1.14779E+18,JohnMcG55334977
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,0,1,0,"Yep no doubt we are very lucky for the bravery of @metpoliceuk  but from the footage being shown on @BBCNews  it appears some members of the public have shown some exemplary bravery, what heroes! #LondonBridge  #LondonShooting   https:// twitter.com/silvervexcebo/ status/1200433061520904199   …",/Jack0_P/status/1200440829229359105,1940066664,Jack0_P
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,2,1,1,"Religion of peace strikes again, yet another reason why we need brexit to happen asap! Boris will prevent these things happening when we can close our borders! #leavealliance  #borisjohnson  #Conservatives  #LondonShooting  #londonbridge",/BrexitM30420955/status/1200440841715769344,1.19758E+18,BrexitM30420955
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,2,0,0,So brave of so many people putting their lives at risk to restrain the knife attacker on London Bridge #londonbridge  #LondonShooting,/therainhamend/status/1200440884376027137,1.03169E+18,therainhamend
1.20044E+18,29-11-2019 21:16,TRUE,FALSE,FALSE,['https://t.co/2MDz5hh2zv'],0,0,0,Man shot as armed police respond to stabbing in #London  Bridge - LIVE  https://www. standard.co.uk/news/crime/lon don-bridge-news-live-gunshots-reports-station-a4300626.html   …  #LondonShooting,/chattypatra/status/1200440899920179200,494569991,chattypatra
1.20044E+18,29-11-2019 21:16,TRUE,FALSE,FALSE,['https://t.co/ItajhoRiaJ'],0,0,0,London Bridge: Man 'shot by police' after 'terror stabbing'  https:// news.sky.com/story/police-d ealing-with-incident-on-london-bridge-amid-reports-of-shots-fired-11873505   …  #LondonShooting,/JnavioNavio/status/1200440917112561665,3361303618,JnavioNavio
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,1,0,0,"Glad I don’t work in central London anymore, just pure terror related madness happens at least once or twice a year #LondonShooting  #Londonbridge",/gavinspringett/status/1200440926428127235,139336038,gavinspringett
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,2,1,1,The police shot the attacker  point blank range  #LondonShooting,/wall_pit/status/1200440937404600323,1.06064E+18,wall_pit
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,0,0,1,"thankfully no family was on the tower bridge before the knife attack, and police shooting. #LondonShooting",/Tony3di/status/1200440965644914688,19312892,Tony3di
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,1,0,0,https://www. paulszasz.com/2019/11/london -bridge.html   …   London Bridge  #London  #LondonShooting,/szasz_paul/status/1200440977506414593,32405209,szasz_paul
1.20044E+18,29-11-2019 21:16,,TRUE,FALSE,,0,0,0,Humans are heroes! #LondonShooting    for all those wounded,/biancasabeena/status/1200440978529800194,128632012,biancasabeena
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,0,0,0,Well done @metpoliceuk  again proving their high readiness and bravery to stop bad people from hurting innocent people #LondonShooting,/OooahhBerardi/status/1200440981436407816,1207858262,OooahhBerardi
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,0,0,0,Jeremy Corbyn will be devestated about today’s events in London but not for the reasons the rest of us are #LondonShooting  #shoottokillpolicy,/fancyflouncer/status/1200441014894432256,8.71441E+17,fancyflouncer
1.20044E+18,29-11-2019 21:16,,FALSE,FALSE,,1,1,0,The amount of video regarding London Bridge shooting is quite amazing  #LondonShooting    https:// twitter.com/24crypt/status /1200439998333562881/video/1   …,/exposed/status/1200441019826868224,7.33929E+17,exposed
